nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Jornada,Isapre,Contrato,Codigo_reserva,Codigo_agenda,Fecha,Monto,Cantidad_personas,Estado_disponibilidad,Numero_viaje,Lugar_origen,Lugar_llegada,Fecha_salida,Fecha_llegada,Capacidad,Tiempo_estimado,Precio_asiento,Empresa,Tipo_de_bus,Comodidades,Escalas,Clase,Paradas
"Benito Griego Zayas",21365267,2,begrza@viajes.cl,benito4251,uwR2UHiUsI4AuE8,"+56 2 0279 0855",Diurno,Colmena,"Full time",607088,,,,,Disponible,9158,Gerona,ElPratdeLLobregat,2026-05-20,2026-07-28,63,1658,82000,"Frontier Airlines",,{},"{""Castellón de la Plana"",""Hospitalet de LLobregat""}",,{}
"Agustín Zelaya Ríos",25075404,3,agzerOA@viajes.cl,agustín3051,QazGNMynmi4,"+56 9 1698 4556",Nocturno,Colmena,"Part time",607091,,,,,Disponible,56592,Benidorm,Elda,2025-04-04,2025-04-26,92,529,141000,Aeroméxico,,{},"{Huelva,Cáceres,Getafe}",,{}
"Javier Fonseca Becerra",15707575,6,javier7990@viajes.cl,jafobe,HCH2t6Olj,"+56 2 8400 2931",Nocturno,Colmena,"Full time",607092,,,,,Disponible,98444,Manresa,CáCERES,2026-06-16,2026-10-29,38,3246,166000,"Frontier Airlines",,{},"{""Ciudad Real""}",,{}
"Francisca Rojo Guevara",27286886,7,francisca4744@viajes.cl,Franciscaguevara,EYc9y7A4aNee,"+56 2 2697 7966",Diurno,Consalud,"Full time",607094,,,0,,Disponible,57334,ElEjido,Jaén,2025-01-26,2025-05-26,48,2885,254000,Lufthansa,,{},{Orense},,{}
"Marta Rivero Angulo",19298612,5,marian@viajes.cl,marian,zL1h0AfRri6alz1,"+56 2 6530 6800",Diurno,"Más vida","Full time",607095,,,,,Disponible,44325,Sagunto,CornelládeLlobregat,2026-02-20,2026-05-11,4,1942,102000,Lufthansa,,{},"{""La Línea de la Concepción"",Almería,Albacete}",,{}
"Susana Acosta Pérez",26338245,5,suacpOo@viajes.cl,Susanapérez,1Tv1VjfhxB0uu,"+56 9 6874 6917",Diurno,Banmédica,"Full time",607096,,,,,Disponible,85116,Irún,SantaCruzdeTenerife,2026-04-03,2026-05-05,46,790,41000,"Air Canada",,{},"{Jaén,Segovia,""Jerez de la Frontera""}",,{}
"Juan Carlos Cepeda Montalvo",14564798,3,juan7630@viajes.cl,Juanmontalvo,v0gsUYLrBnK5csf,"+56 2 0593 0166",Nocturno,"Más vida","Part time",607099,,,,,Disponible,60783,Santander,Valencia,2025-12-23,2026-05-10,73,3319,350000,"LATAM Airlines",,{},{Benidorm},,{}
"Pablo Montero Carmona",16074263,1,pamoca@viajes.cl,Pablocarmona,aooVWB5r5TNB,"+56 2 0694 7625",Diurno,Colmena,"Part time",,,,,,Disponible,10052,AlcaládeGuadaira,Oviedo,,2025-05-16,51,,131000,"Alaska Airlines",,{},{},,{}
"Homero Treviño Galván",19650781,7,homero7092@viajes.cl,homero963,1s1ZkNFZ4ZMfJ,"+56 9 9013 4226",Diurno,Banmédica,"Part time",607106,,,,,Disponible,1748,Cáceres,Tarragona,2025-10-17,2026-03-14,36,3566,288000,"American Airlines",,{},"{""Jerez de la Frontera""}",,{}
"Esperanza Zaragoza González",27570648,5,EsperanzagonzOelez@viajes.cl,Esperanzagonzález,3tySxYJGU2,"+56 2 2277 0966",Diurno,"Más vida","Full time",607107,,,,,Disponible,56370,Lorca,Mérida,2026-05-21,2026-06-01,36,285,158000,EasyJet,,{},"{Málaga,Oviedo,Alcorcón,Guadalajara,Huelva}",,{}
"Ramón Gaytán Laureano",750777,1,ramOIn5459@viajes.cl,Ramónlaureano,28jO5G431zs9,"+56 2 3677 1339",Diurno,"Más vida","Full time",607108,,,,,Disponible,1660,Irún,Guadalajara,2025-06-24,2025-11-13,60,3427,174000,EasyJet,,{},"{Oviedo,Barcelona,""San Sebastián""}",,{}
"Rebeca Santana Carreón",24170462,9,rebeca3851@viajes.cl,rebeca6143,PC6wxrIuAIp6MY8,"+56 9 5092 9074",Diurno,"Más vida","Full time",607109,,,,,Disponible,10473,Mijas,Oviedo,2026-03-13,2026-07-28,19,3299,119000,"LATAM Airlines",,{},"{Pontevedra,Alicante,Manresa,""Pozuelo de Alarcón""}",,{}
"Alejandro Linares Cepeda",15692405,9,Alejandrocepeda@viajes.cl,allice,ynBwvdDcL0q,"+56 9 2945 4248",Nocturno,Consalud,"Part time",607110,,,0,,Disponible,84600,palmademallorca,Oviedo,2026-08-24,2027-01-13,99,3412,277000,"United Airlines",,{},"{""Pozuelo de Alarcón"",Rivas-Vaciamadrid,""Las Palmas de Gran Canaria"",Reus}",,{}
"Pilar Carranza Maya",27265318,6,Pilarmaya@viajes.cl,pilar9131,iAS7u9CJFSW,"+56 9 1994 4730",Diurno,Colmena,"Full time",607111,,,0,,Disponible,33143,Torrelavega,TorrejóndeArdoz,2025-07-25,2025-11-16,24,2748,177000,"Japan Airlines",,{},"{Huelva,""Talavera de la Reina""}",,{}
"Sra. Gonzalo Duran Espinal",20121150,6,Sra.espinal@viajes.cl,srgodues,zjwHz6J4XDMO8dP,"+56 9 4119 5069",Nocturno,"Más vida","Full time",607112,,,0,,Disponible,72516,Logroño,Lérida,2025-10-06,2025-11-15,50,983,49000,WestJet,,{},{},,{}
"Tomás Zepeda Carrillo",22774634,3,tomOes2271@viajes.cl,tozeca,ma2C4Zvn,"+56 2 2793 8086",Nocturno,Colmena,"Part time",607113,,,,,Disponible,80046,Logroño,Fuenlabrada,2026-06-02,2026-08-14,89,1765,133000,Lufthansa,,{},"{Estepona,Elche,""Jerez de la Frontera""}",,{}
"Sta. Gloria Sotelo Casas",9815058,7,sta.6769@viajes.cl,stglsoca,vivoiHhj8K,"+56 2 1104 8980",Nocturno,Fonasa,"Full time",607114,,,0,,Disponible,84405,Marbella,Torremolinos,2026-06-26,2026-11-29,92,3752,422000,"Copa Airlines",,{},"{Motril,Zamora,Torrevieja}",,{}
"Concepción Loera Benavides",20577208,1,concepciOIn7158@viajes.cl,colobe,7G1UNrIx5O,"+56 2 9832 0765",Diurno,Fonasa,"Part time",607116,,,,,Disponible,35063,Cuenta,Sabadell,2026-01-22,2026-06-06,73,3255,191000,"American Airlines",,{},"{Fuengirola,Bilbao,Valencia}",,{}
"Rosario Saucedo Carranza",13912425,1,rosario4305@viajes.cl,rosario3348,ipkHXkD5o4,"+56 9 4149 1226",Nocturno,Consalud,"Part time",607117,,,0,,Disponible,28429,Sevilla,DosHermanas,2025-11-16,2026-02-03,61,1913,160000,"American Airlines",,{},"{Alcorcón,""Alcalá de Henares"",Tarragona,Manresa}",,{}
"Rosa Rentería Segovia",19627058,2,rosa172@viajes.cl,Rosasegovia,IIGIfz4I,"+56 9 0480 4203",Nocturno,Colmena,"Part time",607118,,,,,Disponible,60098,RivasVaciamadrid,Mataró,2025-04-21,2025-06-22,99,1497,148000,"Spirit Airlines",,{},{},,{}
"Mariano Peña Vega",5727239,2,Marianovega@viajes.cl,Marianovega,yhzPiI1LAh,"+56 9 3363 9731",Diurno,Fonasa,"Part time",607119,,,,,Disponible,90566,Sagunto,Mijas,2025-08-17,2025-09-12,9,640,196000,"Alaska Airlines",,{},"{Guadalajara,Logroño,""Cerdañola del Vallés"",""Chiclana de la Frontera"",Palencia}",,{}
"Miguel Ángel Flores Franco",13700379,1,Miguelfranco@viajes.cl,Miguelfranco,li5RMlPkM,"+56 9 6672 0747",Diurno,"Más vida","Full time",607120,,,,,Disponible,2289,Majadahonda,Fuengirola,2025-07-23,2025-10-26,97,2290,215000,"Alaska Airlines",,{},"{""Hospitalet de LLobregat"",Torrelavega}",,{}
"María Soledad Briones Espinosa",11871930,1,masobres@viajes.cl,maría6146,0G4ExW0IT6Acb,"+56 9 7757 8772",Nocturno,Consalud,"Part time",607123,,,,,Disponible,57635,Elche,Palencia,2025-07-27,2025-08-18,62,533,118000,"Spirit Airlines",,{},"{""Palma de Mallorca""}",,{}
"Andrés Gastélum Vanegas",1073159,3,AndrOosvanegas@viajes.cl,Andrésvanegas,C4QUV57vOeYz,"+56 2 6607 2443",Nocturno,"Más vida","Full time",607124,,,,,Disponible,15900,avilés,Murcia,2025-01-02,2025-04-01,57,2146,67000,KLM,,{},{Alcobendas},,{}
"Cristina Ureña Galván",8769976,5,crurga@viajes.cl,cristina9810,8fxI7Vp7dp7tD6,"+56 9 0307 5651",Diurno,Consalud,"Part time",607125,,,,,Disponible,98867,CerdañoladelVallés,Bilbao,2025-11-11,2025-12-09,41,682,180000,"Qatar Airways",,{},"{Torrevieja,Arrecife,Leganés}",,{}
"Ricardo Munguía Perea",12745053,6,rimupe@viajes.cl,Ricardoperea,FmfNpJDOL8se29w,"+56 9 9333 1752",Diurno,Banmédica,"Part time",607126,,,,,Disponible,80878,Alcorcón,Huelva,2025-11-12,2026-04-01,16,3368,317000,"Frontier Airlines",,{},{},,{}
"Daniel Sanabria Carrero",13132735,8,Danielcarrero@viajes.cl,dasaca,wM1aV6eMMr5,"+56 2 8569 4307",Nocturno,Consalud,"Full time",607127,,,,,Disponible,38318,Inca,Alcobendas,2025-10-30,2026-03-25,85,3515,349000,Ryanair,,{},"{Manresa,Cuenta}",,{}
"Norma Beltrán Menchaca",4467817,9,norma1444@viajes.cl,norma3078,XWa8lGMhiwr,"+56 2 0979 8879",Diurno,Colmena,"Part time",607128,,,,,Disponible,86333,Cáceres,SantiagodeCompostela,2026-05-12,2026-10-05,45,3507,183000,"Qatar Airways",,{},"{Torrevieja,""Santa Coloma de Gramanet"",León}",,{}
"Sr. Luis Trujillo Razo",13931390,9,srlutrra@viajes.cl,srlutrra,D1OhxYqTY,"+56 2 2658 3922",Nocturno,"Más vida","Full time",607129,,,,,Disponible,22726,Valdemoro,Fuengirola,2025-06-08,2025-08-25,91,1881,111000,"Turkish Airlines",,{},{},,{}
"Ana Luisa Varela Saldivar",258285,6,anluvasa@viajes.cl,Anasaldivar,uNIHI27Bz,"+56 2 2123 0925",Nocturno,"Más vida","Full time",607130,,,,,Disponible,42746,MolletdelVallés,Pamplona,2025-06-28,2025-08-05,42,927,67000,Lufthansa,,{},"{Granada,Ávila,""Ciudad Real"",Cuenta}",,{}
"Daniela Rascón Tórrez",253986,1,daniela3887@viajes.cl,daniela2635,iWNz64UdF7,"+56 2 9130 2226",Nocturno,Consalud,"Part time",607131,,,,,Disponible,84325,Alcorcón,Zamora,2025-12-13,2026-04-11,51,2863,282000,"Air Canada",,{},"{""San Sebastían de los Reyes"",Cádiz,Torrevieja,Paterna}",,{}
"Cristobal Briseño Benavídez",7638017,1,cristobal3126@viajes.cl,crbrbe,4Td7nixf7,"+56 9 6226 5790",Diurno,Colmena,"Part time",607132,,,,,Disponible,7486,SantaLucíadeTirajana,CiudadReal,2026-04-10,2026-08-19,50,3154,289000,Qantas,,{},"{Zaragoza,Granollers}",,{}
"José Emilio Franco Medrano",25192013,3,josOo9599@viajes.cl,josé2326,NpMOQE6pyLAR4C,"+56 9 2151 2166",Nocturno,Fonasa,"Part time",607133,,,,,Disponible,9175,Vigo,ElPuertodeSantaMaría,2025-09-04,2025-10-18,76,1072,61000,"Delta Air Lines",,{},{},,{}
"Javier Báez Cordero",26350716,9,jabOeco@viajes.cl,javier7282,W4fPs8wENJa41W,"+56 9 6910 8751",Nocturno,Colmena,"Full time",607134,,,,,Disponible,41044,ferrol,Murcia,2025-01-21,2025-05-03,72,2465,180000,"American Airlines",,{},{},,{}
"José Luis Farías Almanza",4736380,2,JosOoalmanza@viajes.cl,Joséalmanza,SS1i95BNG,"+56 2 9757 4812",Nocturno,Consalud,"Full time",607135,,,,,Disponible,90411,Telde,Telde,2025-10-12,2025-12-08,26,1372,109000,"Copa Airlines",,{},"{""Palma de Mallorca"",""Pozuelo de Alarcón"",Reus,""Castellón de la Plana"",""Torrejón de Ardoz""}",,{}
"Maricarmen Tijerina Baeza",18914504,7,Maricarmenbaeza@viajes.cl,matiba,5dZnwrgEaYKu,"+56 2 0139 0345",Nocturno,Colmena,"Part time",607136,,,,,Disponible,97174,ElPuertodeSantaMaría,Ferrol,2025-05-14,2025-06-04,18,517,106000,Qantas,,{},"{""Dos Hermanas"",Almería,Badajoz,Parla,""Santa Cruz de Tenerife""}",,{}
"Sr. Samuel Bañuelos Pichardo",21021470,4,Sr.pichardo@viajes.cl,srsabapi,MCEjhS8jjRw,"+56 2 3386 9898",Nocturno,Consalud,"Part time",607140,,,0,,Disponible,9778,Orihuela,ChiclanadelaFrontera,2026-10-12,2027-03-15,79,3703,475000,"Singapore Airlines",,{},{},,{}
"Claudio Colón Meléndez",9160515,5,claudio1975@viajes.cl,claudio3995,mWAoG4TF,"+56 9 6420 6020",Diurno,Colmena,"Part time",607141,,,,,Disponible,28427,Gijón,ElEjido,2025-11-29,2026-04-20,63,3419,271000,"Ethiopian Airlines",,{},{},,{}
"Gonzalo Dávila Mayorga",5119248,6,godOema@viajes.cl,godáma,GdYYpSYxw0C2,"+56 9 6137 1898",Nocturno,Banmédica,"Full time",607142,,,,,Disponible,19135,Sabadell,ElEjido,2026-06-09,2026-08-01,80,1282,88000,JetBlue,,{},{},,{}
"María Galarza Rosas",23067960,6,marOAa1354@viajes.cl,Maríarosas,YlR9iIvBOO,"+56 9 0442 7064",Nocturno,Colmena,"Part time",607146,,,0,,Disponible,7364,bilbao,Cartagena,2026-09-03,2026-11-24,43,1986,132000,JetBlue,,{},"{Oviedo,Elche,""Talavera de la Reina""}",,{}
"Sr. María Elena Almanza Vázquez",11076307,7,Sr.vOezquez@viajes.cl,Sr.vázquez,sHI1afWW6xndjC3h,"+56 2 2695 8382",Nocturno,Fonasa,"Full time",607149,,,,,Disponible,66031,Paterna,Madrid,2025-12-12,2026-05-26,14,3980,335000,"All Nippon Airways (ANA)",,{},{Cuenta},,{}
"Santiago Casillas Varela",16540303,7,sacava@viajes.cl,Santiagovarela,0eqMVvuCh3aeVi5,"+56 2 2866 3165",Diurno,Banmédica,"Part time",607150,,,,,Disponible,99000,Viladecans,TOLEDO,2025-03-09,2025-08-24,20,4049,448000,KLM,,{},"{Benidorm,Gecho,Arrecife,Granollers,Tarragona}",,{}
"Ernesto Águilar Cotto",4455565,4,erOegco@viajes.cl,ernesto4646,InlvVTl0l,"+56 2 5848 3618",Diurno,Banmédica,"Full time",607154,,,,,Disponible,25511,Sabadell,Linares,2025-12-07,2026-03-01,76,2030,126000,"Japan Airlines",,{},{Benidorm},,{}
"Javier Cortés Ybarra",24286015,2,javier3509@viajes.cl,jacoyb,KEtMqS4I41FCjPl,"+56 2 4578 8400",Nocturno,Banmédica,"Part time",607156,,,,,Disponible,10888,Pontevedra,Jaén,2025-12-31,2026-04-18,34,2597,85000,"Qatar Airways",,{},{Vitoria},,{}
"Isabel Almonte Laboy",8526905,4,Isabellaboy@viajes.cl,isalla,HYMZ30ewRZaF,"+56 9 5143 8662",Diurno,Colmena,"Full time",607157,,,,,Disponible,50649,Pamplona,Alcorcón,2025-06-25,2025-10-09,56,2563,264000,"Alaska Airlines",,{},"{Gerona,Cartagena}",,{}
"Julia Mata Briseño",22880193,3,Juliabriseno@viajes.cl,jumabr,Wf86xK72G,"+56 9 1022 4280",Diurno,"Más vida","Full time",607159,,,,,Disponible,59832,LasPalmasdeGranCanaria,SantaCruzdeTenerife,2026-07-31,2026-10-29,76,2183,300000,"Air New Zealand",,{},{},,{}
"Patricio Garza Villanueva",3405025,2,Patriciovillanueva@viajes.cl,patricio3918,5s3VrFxwbJJTpl,"+56 9 4653 1491",Diurno,Colmena,"Full time",607160,,,,,Disponible,4367,Salamanca,Sevilla,2026-08-08,2027-01-01,59,3507,102000,Ryanair,,{},"{""Roquetas de Mar"",Granada,Coslada,""El Prat de LLobregat"",""San Fernando""}",,{}
"Francisco Rivas Bañuelos",3554067,9,frriba@viajes.cl,frriba,JkQxaqioGIM45,"+56 2 5109 5701",Diurno,Consalud,"Full time",607161,,,,,Disponible,77422,Manresa,Murcia,2025-03-08,2025-08-04,68,3597,149000,Lufthansa,,{},"{Benidorm,Gerona,""Collado Villalba"",Elda}",,{}
"Inés Chacón Escamilla",1271682,6,inOos8100@viajes.cl,inches,Yq6GlzKKXJP,"+56 2 0587 9008",Nocturno,Fonasa,"Part time",607162,,,,,Disponible,97247,Benidorm,ElPuertodeSantaMaría,2025-05-10,2025-10-11,21,3696,355000,Emirates,,{},"{Cáceres,Badalona,Badalona}",,{}
"Sta. José María Nava Rivas",11484801,8,stjomanari@viajes.cl,sta.2358,Oe3GAYVSiIC6,"+56 2 0847 9293",Diurno,Fonasa,"Full time",607165,,,,,Disponible,42119,Gandía,Sagunto,2026-03-18,2026-07-24,38,3090,284000,Vueling,,{},{Zaragoza},,{}
"Sr. Marcela Sandoval Bustos",12840557,7,srmasabu@viajes.cl,srmasabu,43j3slqdaZA,"+56 9 3323 1585",Nocturno,Banmédica,"Part time",607166,,,0,,Disponible,84719,TorrejóndeArdoz,CerdañoladelVallés,2026-03-15,2026-04-17,75,793,51000,EasyJet,,{},{Coslada},,{}
"Gregorio Jiménez Candelaria",1701841,8,gregorio6426@viajes.cl,Gregoriocandelaria,M6tgNtIw8OQP,"+56 9 1156 9609",Diurno,"Más vida","Full time",607168,,,,,Disponible,25349,Benidorm,Orihuela,2026-08-26,2026-12-15,11,2680,284000,"United Airlines",,{},"{Rubí,Orihuela,Mérida,Lugo,Rubí}",,{}
"Adela Macías Tafoya",17560923,7,admata@viajes.cl,Adelatafoya,uCq2yT8koMWYjb,"+56 2 5773 1776",Nocturno,Colmena,"Full time",607169,,,,,Disponible,74146,albacete,SanSebastián,2026-07-17,2026-07-31,28,357,148000,KLM,,{},{Algeciras},,{}
"Jaime Amaya Araña",19831948,1,Jaimearana@viajes.cl,jaime2650,3E9bEAnKDJ7yFOu,"+56 2 5083 3467",Diurno,Banmédica,"Full time",607170,,,,,Disponible,49534,Benidorm,Ceuta,2026-06-21,2026-08-18,53,1415,91000,"Qatar Airways",,{},"{""Santa Cruz de Tenerife""}",,{}
"Isabel Granado Olivera",25756607,2,Isabelolivera@viajes.cl,Isabelolivera,uaiHjU4gHF,"+56 2 8169 3871",Nocturno,"Más vida","Part time",607173,,,,,Disponible,85389,molinadesegura,Torrevieja,2025-03-11,2025-08-29,58,4117,454000,"LATAM Airlines",,{},"{Móstoles,""Hospitalet de LLobregat"",""El Prat de LLobregat"",Gerona}",,{}
"Alfredo Ávila Macías",26836254,1,AlfredomacOAas@viajes.cl,alfredo456,q1rfk6f7NwOT,"+56 2 8662 5676",Nocturno,Consalud,"Full time",607174,,,,,Disponible,4525,Algeciras,Gandía,2025-08-24,2026-02-11,23,4120,309000,Iberia,,{},{},,{}
"Sta. Silvia Montaño Córdova",9962447,7,stsimocOI@viajes.cl,Sta.córdova,Czocfn04fuPrI,"+56 9 7647 5632",Nocturno,"Más vida","Part time",607176,,,0,,Disponible,43352,SantiagodeCompostela,Paterna,2025-07-17,2025-08-03,35,408,136000,"All Nippon Airways (ANA)",,{},"{Paterna,Fuengirola,""El Ejido"",Alcorcón,Gijón}",,{}
"Gustavo Caballero Pacheco",10584319,4,Gustavopacheco@viajes.cl,gucapa,4iFytv5Y,"+56 2 2946 5757",Diurno,Consalud,"Full time",607179,,,,,Disponible,89780,Torrelavega,RivasVaciamadrid,2026-05-21,2026-08-05,31,1846,77000,"Spirit Airlines",,{},"{Torrelavega,""Pozuelo de Alarcón"",""El Ejido"",Rubí}",,{}
"Sra. Ana María Contreras Díaz",2554430,7,sra.742@viajes.cl,sranmacodí,Ow0k8y5Ym0e1FU,"+56 9 5510 6474",Diurno,"Más vida","Part time",607180,,,,,Disponible,77628,CastellóndelaPlana,Logroño,2026-07-09,2027-01-01,33,4230,273000,"Alaska Airlines",,{},"{""Molina de Segura"",Ferrol,Cádiz,Arrecife,Guadalajara}",,{}
"Felipe Almaraz Becerra",25182937,3,felipe6550@viajes.cl,Felipebecerra,sVG7BnKf0,"+56 9 4881 8560",Nocturno,Consalud,"Full time",607181,,,0,,Disponible,22883,Santander,SanFernando,2026-06-16,2026-07-14,88,676,162000,"LATAM Airlines",,{},"{Torremolinos,Pamplona,Rubí}",,{}
"Alberto Varela Figueroa",28648676,2,Albertofigueroa@viajes.cl,alvafi,rRhP7WKq8rQX5,"+56 9 8457 0949",Nocturno,"Más vida","Full time",607182,,,,,Disponible,54012,Leganés,Rubí,2025-03-04,2025-03-10,8,145,186000,"Japan Airlines",,{},"{Santander,""Torrejón de Ardoz"",""San Sebastían de los Reyes""}",,{}
"Miguel Ramos Ponce",12806456,7,miguel8866@viajes.cl,Miguelponce,gcgiVkO6Ff,"+56 9 1054 5152",Nocturno,Banmédica,"Part time",607183,,,,,Disponible,41868,Marbella,TOLEDO,2026-02-20,2026-06-14,62,2746,174000,"Singapore Airlines",,{},{Benidorm},,{}
"Sra. Hugo Olivera Soto",12443393,2,srhuolso@viajes.cl,srhuolso,yGCth3p2R5Cdr8aG,"+56 9 5609 7095",Nocturno,Colmena,"Part time",607184,,,,,Disponible,88850,AlcaládeHenares,Cuenta,2025-12-13,2026-04-24,14,3177,100000,JetBlue,,{},"{""Jerez de la Frontera"",Oviedo,Logroño}",,{}
"Guadalupe Crespo Alemán",2296183,7,gucral@viajes.cl,guadalupe7966,rLGPrXamSS8hu7Tg,"+56 2 6732 8379",Nocturno,Banmédica,"Part time",607186,,,,,Disponible,19927,gijón,Albacete,2025-02-08,2025-07-10,16,3656,199000,"Turkish Airlines",,{},{},,{}
"José María Llamas Loya",2652742,2,josOo3461@viajes.cl,jomalllo,NBsmxf7TO8YA,"+56 2 9732 7358",Diurno,"Más vida","Part time",607187,,,,,Disponible,59132,Madrid,Badajoz,2025-04-10,2025-04-15,43,127,60000,"American Airlines",,{},"{Getafe,Alcobendas,Viladecans,Pamplona}",,{}
"Mercedes Berríos Chacón",15629002,5,mebech@viajes.cl,mercedes1386,T5IpAewBzleMUYL,"+56 9 5567 3649",Nocturno,"Más vida","Part time",607188,,,,,Disponible,32107,Murcia,Palencia,2026-08-04,2026-11-10,40,2352,217000,"American Airlines",,{},"{Cádiz,Cáceres}",,{}
"Cecilia Delacrúz Zavala",12475954,4,cedeza@viajes.cl,Ceciliazavala,gxd98lK3Bj,"+56 2 2682 6744",Nocturno,Banmédica,"Part time",607189,,,,,Disponible,18215,Algeciras,Lorca,2026-06-19,2026-11-19,81,3688,352000,Emirates,,{},{},,{}
"Clemente Salinas Delgado",28930926,8,clemente8946@viajes.cl,,,"+56 9 3516 6938",Nocturno,Banmédica,,607190,,,,,Disponible,6982,,BENALMáDENA,2026-01-16,2026-03-10,,1289,77000,"Japan Airlines",,{},"{""Las Palmas de Gran Canaria"",Albacete,Ávila,""Castellón de la Plana""}",,{}
"Sra. Inés Calderón Cazares",15485132,1,srincaca@viajes.cl,sra.3520,iEgR9KBEsh,"+56 2 2168 2050",Nocturno,"Más vida","Full time",607193,,,,,Disponible,41524,Segovia,Ferrol,2025-02-16,2025-06-29,93,3193,158000,"All Nippon Airways (ANA)",,{},"{Lérida,Ceuta}",,{}
"Eva Vázquez Girón",19169091,5,evvOegi@viajes.cl,evvági,47NRcNL5lahu,"+56 9 1210 1574",Diurno,Consalud,"Part time",607195,,,,,Disponible,67766,Benalmádena,SanFernando,2026-04-28,2026-08-04,87,2371,221000,"United Airlines",,{},"{Zamora,Zaragoza,Ferrol,Rubí}",,{}
"Cecilia Varela Griego",11100567,2,cecilia7335@viajes.cl,cevagr,VNM5eOGtFLqgf,"+56 2 2650 9756",Nocturno,Banmédica,"Part time",607196,,,0,,Disponible,57188,SantaColomadeGramanet,MATARó,2026-05-24,2026-09-13,78,2695,119000,"Ethiopian Airlines",,{},"{""Jerez de la Frontera"",Elda,Sabadell,Vigo,Albacete}",,{}
"Marilu Olivera Aguirre",17986735,4,Mariluaguirre@viajes.cl,Mariluaguirre,Sh6GWcRXMsmwx4de,"+56 2 4625 1478",Diurno,"Más vida","Part time",607197,,,,,Disponible,68999,Alcoy,Málaga,2026-09-24,2027-01-31,25,3113,214000,"Copa Airlines",,{},"{""La Línea de la Concepción"",Bilbao,Torrelavega}",,{}
"Luz Guevara Vanegas",8617666,1,luz4383@viajes.cl,luz9667,6Q9V9I5j,"+56 9 6216 2390",Nocturno,Banmédica,"Part time",607199,,,,,Disponible,57968,ElPuertodeSantaMaría,CiudadReal,2025-11-26,2026-04-01,18,3035,379000,"Qatar Airways",,{},{},,{}
"Antonio Guerra Covarrubias",25809562,6,Antoniocovarrubias@viajes.cl,Antoniocovarrubias,RFI9noEazM,"+56 2 3949 0010",Diurno,Fonasa,"Part time",607204,,,0,,Disponible,97563,Linares,TARRAGONA,2026-04-10,2026-05-02,19,536,38000,"Turkish Airlines",,{},"{Rivas-Vaciamadrid,Albacete,Lérida,Badalona}",,{}
"Nicolás Marrero Ramón",13585507,3,nimara@viajes.cl,nicolás2191,2BV8SXcfAgiD5pVZ,"+56 2 5090 5807",Diurno,Banmédica,"Full time",607205,,,,,Disponible,34371,ChiclanadelaFrontera,SanSebastián,2026-11-14,2026-12-28,37,1062,56000,KLM,,{},"{Palencia,""Cornellá de Llobregat"",Gecho,""El Puerto de Santa María""}",,{}
"Sta. Catalina Becerra Solorzano",5918263,3,stcabeso@viajes.cl,stcabeso,UdTtr6mKcbt,"+56 2 3967 0768",Nocturno,"Más vida","Full time",607207,,,,,Disponible,23742,ElPuertodeSantaMaría,Toledo,2025-07-20,2025-12-02,17,3240,209000,"Wizz Air",,{},"{Alicante,Parla,Mataró}",,{}
"Germán Toledo Duran",1355391,2,germOen6032@viajes.cl,getodu,xBwTroA3W5HbR,"+56 9 2914 4402",Nocturno,Fonasa,"Part time",607208,,,,,Disponible,39250,LaCoruña,Coslada,2026-03-30,2026-06-03,72,1573,112000,"United Airlines",,{},"{""Hospitalet de LLobregat"",""Pozuelo de Alarcón"",Valdemoro,""Molina de Segura"",Lugo}",,{}
"Germán Burgos Soria",17339718,6,gebuso@viajes.cl,germán4316,sIvg0NVgA,"+56 9 5757 3210",Nocturno,Colmena,"Full time",607209,,,,,Disponible,22973,Leganés,Leganés,2026-01-12,2026-04-17,76,2284,257000,"Qatar Airways",,{},"{""San Cristróbal de la Laguna"",Rivas-Vaciamadrid,Móstoles,Rivas-Vaciamadrid,""El Prat de LLobregat""}",,{}
"Hugo Marroquín Cordero",8691501,4,humaco@viajes.cl,humaco,lqWqEH2J,"+56 9 3354 3563",Nocturno,Colmena,"Full time",607210,,,,,Disponible,2995,RoquetasdeMar,MATARó,2026-07-09,2026-10-02,37,2041,173000,"Air New Zealand",,{},"{Santander,Cuenta,Alicante,Oviedo,""La Coruña""}",,{}
"Lorenzo Menéndez Marroquín",13217594,2,LorenzomarroquOAn@viajes.cl,lomema,tQ8qn4CBXi72Ck,"+56 2 6340 2907",Diurno,Banmédica,"Full time",607212,,,,,Disponible,33500,Guadalajara,Móstoles,2025-03-08,2025-03-28,60,499,64000,"Ethiopian Airlines",,{},{},,{}
"Sra. Berta Delao López",6820821,1,srbedelOI@viajes.cl,Sra.lópez,rxR3hScu6GD4zp2,"+56 9 6242 7211",Diurno,Consalud,"Part time",607213,,,,,Disponible,40701,marbella,Gecho,2026-11-18,2027-03-02,9,2514,235000,"Spirit Airlines",,{},"{Córdoba,Logroño,Elda}",,{}
"Yolanda Esquibel Trejo",28650109,5,Yolandatrejo@viajes.cl,yoestr,iwH6PsocWw2oN7,"+56 9 0556 0861",Diurno,Fonasa,"Full time",607214,,,,,Disponible,9378,Palencia,Torrelavega,2025-09-08,2025-10-20,51,1010,69000,Vueling,,{},"{""Hospitalet de LLobregat""}",,{}
